pdf_page,book_page,number,cargo_name,parent_group,cas,marpol,fosfa,niop,eu,rel_density,solubility_c,boil_point_c,melt_point_c,viscosity_mpas,flash_point_c,static_accumulator,is_group_heading,raw_details
596,593,395,"1,1,2-TRICHLOROETHANE",,79-00-5,Y,,,,"1,4","0,4",114,-35,"1,2",,,no,"CAS: 79-00-5 | MARPOL: Y REL. DENSITY: 1,4 | SOLUBILITY [°C]: 0,4 | BOIL. POINT [°C]: 114 MELT. POINT [°C]: -35 | VISCOSITY [MPA*S]: 1,2"
596,593,396,TRICHLOROETHYLENE,,79-01-6,Y,,,,"1,46","0,11",87,-86,"0,58",,,no,"CAS: 79-01-6 | MARPOL: Y REL. DENSITY: 1,46 | SOLUBILITY [°C]: 0,11 | BOIL. POINT [°C]: 87 MELT. POINT [°C]: -86 | VISCOSITY [MPA*S]: 0,58"
596,593,397,"1,2,3-TRICHLOROPROPANE",,96-18-4,Y,,,,"1,4","0,18",156,-15,,74,,no,"CAS: 96-18-4| MARPOL: Y REL. DENSITY: 1,4 | SOLUBILITY [°C]: 0,18 | BOIL. POINT [°C]: 156 MELT. POINT [°C]: -15 | FLASH POINT [°C]: 74"
596,593,398,TRIDECANE,,629-50-5,Y,,,,"0,756",INSOLUBLE,234,-4,"1,55",79,,no,"CAS: 629-50-5 | MARPOL: Y REL. DENSITY: 0,756 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 234 MELT. POINT [°C]: -4 | VISCOSITY [MPA*S]: 1,55 | FLASH POINT [°C]: 79"
596,593,399,TRIDECANOL,,112-70-9,Y,A,L2,A,"0,84 (APPROX)",INSOLUBLE,240,30,,82,,no,"CAS: 112-70-9 MARPOL: Y FOSFA: A NIOP: L2 | EU: A REL. DENSITY: 0,84 (APPROX) | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 240 MELT. POINT [°C]: 30 | FLASH POINT [°C]: 82"
596,593,400,TRIETHANOLAMINE,,102-71-6,Z,,,,"1,13",COMPLETE,310,16,,194,,no,"CAS: 102-71-6 | MARPOL: Z REL. DENSITY: 1,13 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 310 MELT. POINT [°C]: 16 | FLASH POINT [°C]: 194"
596,593,401,TRIETHYLAMINE,,121^4-8,Y,,,,"0,73",COMPLETE,89,-115,"0,38",-7,,no,"CAS: 121^4-8 | MARPOL: Y REL. DENSITY: 0,73 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 89 MELT. POINT [°C]: -115 | VISCOSITY [MPA*S]: 0,38 | FLASH POINT [°C]: -7"
597,594,402,TRIETHYLENEGLYCOL,,112-27-6,OS,,,,"1,125",COMPLETE,286,-4,"47,8",165,,no,"CAS: 112-27-6 MARPOL: OS REL. DENSITY: 1,125 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 286 MELT. POINT [°C]: -4 | VISCOSITY [MPA*S]: 47,8 | FLASH POINT [°C]: 165"
597,594,403,TRIETHYLENEGLYCOLMONOMETHYLETHER,,112-35-6,Z,,,,"1,05",COMPLETE,249,-44,,110,,no,"CAS: 112-35-6 MARPOL: Z REL. DENSITY: 1,05 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 249 MELT. POINT [°C]: -44 | FLASH POINT [°C]: 110"
597,594,404,TRIETHYLENETETRAMINE,,112-24-3,Y,,,,"0,98",COMPLETE,277,-35,26,148,,no,"CAS: 112-24-3 | MARPOL: Y REL. DENSITY: 0,98 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 277 MELT. POINT [°C]: -35 | VISCOSITY [MPA*S]: 26 | FLASH POINT [°C]: 148"
597,594,405,TRIETHYLPHOSPHATE,,78^40-0,Z,,,,"1,07",COMPLETE,210,-56,,115,,no,"CAS: 78^40-0 MARPOL: Z REL. DENSITY: 1,07 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 210 MELT. POINT [°C]: -56 | FLASH POINT [°C]: 115"
597,594,406,TRIETHYLPHOSPHITE,,122-52-1,Z,,,,"0,96",REACTION,156,-112,,54,,no,"CAS: 122-52-1 | MARPOL: Z REL. DENSITY: 0,96 | SOLUBILITY [°C]: REACTION | BOIL. POINT [°C]: 156 MELT. POINT [°C]: -112 | FLASH POINT [°C]: 54"
597,594,407,TRIISOPROPANOLAMINE,,122-20-3,Z,,,,1,COMPLETE,301,45,100 (@60°C),174,,no,CAS: 122-20-3 | MARPOL: Z REL. DENSITY: 1 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 301 MELT. POINT [°C]: 45 | VISCOSITY [MPA*S]: 100 (@60°C) | FLASH POINT [°C]: 174
597,594,408,TRIMETHYLACETICACID,,75-98-9,Y,,,,"0,905","2,2",164,35,,64,,no,"CAS: 75-98-9 | MARPOL: Y REL. DENSITY: 0,905 | SOLUBILITY [°C]: 2,2 | BOIL. POINT [°C]: 164 MELT. POINT [°C]: 35 | FLASH POINT [°C]: 64"
597,594,409,TRIMETHYLAMINE SOLUTION (30% OR LESS),,75-50-3,Z,,,,"0,97",COMPLETE,30,-2,,-20,,no,"CAS: 75-50-3 | MARPOL: Z REL. DENSITY: 0,97 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 30 MELT. POINT [°C]: -2 | FLASH POINT [°C]: -20"
598,595,410,TRIMETHYLBENZENES,,,,,,,,,,,,,,yes,
598,595,410,"1,2,4-TRIMETHYLBENZENE",TRIMETHYLBENZENES,95-63-6,X,,,,"0,88",INSOLUBLE,168,-44,,44,YES,no,"CAS: 95-63-6 MARPOL: X REL. DENSITY: 0,88 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 168 MELT. POINT [°C]: -44 | FLASH POINT [°C]: 44 | STATIC ACCUMULATOR: YES"
598,595,410,"1,3,5-TRIMETHYLBENZENE",TRIMETHYLBENZENES,108-67-8,X,,,,"0,86",INSOLUBLE,165,-45,,44,YES,no,"CAS: 108-67-8 | MARPOL: X REL. DENSITY: 0,86 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 165 MELT. POINT [°C]: -45 | FLASH POINT [°C]: 44 | STATIC ACCUMULATOR: YES"
598,595,411,TRIMETHYLPHOSPHITE,,121-45-9,,,,,"1,05",REACTION,110,-78,,27,,no,"CAS: 121-45-9 REL. DENSITY: 1,05 | SOLUBILITY [°C]: REACTION | BOIL. POINT [°C]: 110 MELT. POINT [°C]: -78 | FLASH POINT [°C]: 27"
598,595,412,TRIPROPYLENEGLYCOL,,24800-44-0,Z,,,,"1,021",COMPLETE,270,-20,55,145,,no,"CAS: 24800-44-0 | MARPOL: Z REL. DENSITY: 1,021 | SOLUBILITY [°C]: COMPLETE | BOIL. POINT [°C]: 270 MELT. POINT [°C]: -20 | VISCOSITY [MPA*S]: 55 | FLASH POINT [°C]: 145"
598,595,413,TUNG OIL,,8001-20-5,Y,A,L2,A,"0,87",INSOLUBLE,205,4,117 (@ 37°C) u,,,no,"CAS: 8001-20-5 | MARPOL: Y | FOSFA: A | NIOP: L2 | EU: A REL. DENSITY: 0,87 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 205 MELT. POINT [°C]: 4 | VISCOSITY [MPA*S]: 117 (@ 37°C) u"
598,595,414,ULTRA LOW SULPHUR FUEL OIL DM GRADE,,68476-33-5,A1,,,,"0,91 (0.79 - 0.91)",INSOLUBLE,,18,60 (10 - 60 @ 50°C),61,YES,no,"CAS: 68476-33-5 | MARPOL: A1 REL. DENSITY: 0,91 (0.79 - 0.91) | SOLUBILITY [°C]: INSOLUBLE MELT. POINT [°C]: 18 | VISCOSITY [MPA*S]: 60 (10 - 60 @ 50°C) FLASH POINT [°C]: 61 STATIC ACCUMULATOR: YES"
598,595,415,ULTRA LOW SULPHUR FUEL OIL RM GRADE,,68476-33-5,A1,,,,"0,91 (0.79 - 0.91)",INSOLUBLE,,18,60 (10 - 60 @ 50°C),61,YES,no,"CAS: 68476-33-5 | MARPOL: A1 REL. DENSITY: 0,91 (0.79 - 0.91) | SOLUBILITY [°C]: INSOLUBLE MELT. POINT [°C]: 18 | VISCOSITY [MPA*S]: 60 (10 - 60 @ 50°C) | FLASH POINT [°C]: 61 | STATIC ACCUMULATOR: YES"
599,596,416,UNDECANE,,1120-21-4,Y,,,,"0,74",INSOLUBLE,196,-26,"1,17",60,,no,"CAS: 1120-21-4 | MARPOL: Y REL. DENSITY: 0,74 | SOLUBILITY [°C]: INSOLUBLE | BOIL. POINT [°C]: 196 MELT. POINT [°C]: -26 | VISCOSITY [MPA*S]: 1,17 | FLASH POINT [°C]: 60"
